"","Estimator","estimator","N_reps","abs_bias_Ya1","estimator_variance_Ya1","mean_variance_Ya1","bias_se_ratio_Ya1","coverage_Ya1","O_coverage_Ya1","abs_bias_RD","estimator_variance_RD","mean_variance_RD","bias_se_ratio_RD","coverage_RD","O_coverage_RD","abs_log_bias_RR","estimator_variance_RR","mean_variance_RR","bias_se_ratio_RR","coverage_RR","O_coverage_RR"
"1","iptw","res_EN",1000,0.001963633340615,2.75696851934923e-06,2.24565675128255e-06,1.31035421449671,70,83,0.00249503168726447,3.11760816860157e-06,2.55061006544758e-06,1.56226258186201,61.7,74.8,0.320309504847491,0.0110797332785295,0.0528705022251235,1.39303846403358,75.5,80.4
"2","iptw","res_EN_undersmooth",1000,0.00190448709986168,5.40317810895395e-06,4.00008803260652e-06,0.952233071543578,90.9,94.2,0.00660586007148418,6.04443996273523e-06,4.09444581225144e-06,3.2646137547387,19.7,23.6,0.356082159451735,0.0107894778687573,0.0504320946750003,1.58561122507362,68.8,76.7
"3","iptw","res_glm",1000,0.00199545428676748,5.65052166118588e-06,4.20029137661029e-06,0.973648218987421,90.6,93.4,0.0019519592402913,6.03741940647587e-06,4.52055114655046e-06,0.918068425121954,89.9,95.6,0.214709098998805,0.0219528254532858,0.0515513068491056,0.945650398291901,89.4,95.1
"4","iptw","res_glm_untruncated",1000,0.00248739690398154,1.06131344455606e-05,1.03798315119691e-05,0.772058017751699,92.7,93.9,0.00249895861191522,1.11132190490727e-05,1.07000912819092e-05,0.763950680385566,88.3,95.5,0.268285124874096,0.0411476041015542,0.0946777664226065,0.871911873642496,92.4,94.6
"5","iptw","res_glmnet",1000,0.00194918343691654,2.7739919153724e-06,2.17562143865156e-06,1.3214813778021,69.2,83.9,0.00256808511903251,3.13702707263454e-06,2.47744292556765e-06,1.63157704017695,58.4,72.5,0.322339633665825,0.0109948031024408,0.0508370041831561,1.42963026373775,74.3,79.8
"6","iptw","res_glmnet_undersmooth",1000,0.00191326617415297,5.42908414087637e-06,4.00903948613015e-06,0.955553981771672,90.9,94,0.00658300007005411,6.07026362886301e-06,4.10339790412411e-06,3.24976564767926,20,24.3,0.353876600879416,0.0108411652677797,0.0502830956969277,1.57812297813247,69.1,77
"7","iptw","res_glmnet_undersmooth_untruncated",999,0.00231798215746957,9.12111302090007e-06,8.55881083504565e-06,0.792325028229656,91.5915915915916,94.0940940940941,0.00667789382492124,9.88164661045317e-06,8.6531676396733e-06,2.27013639285978,33.5335335335335,39.039039039039,0.391950939549431,0.0181827611660188,0.0857575603648074,1.33842950230999,71.7717717717718,82.1821821821822
"8","iptw","res_glmnet_untruncated",1000,0.00198293244952328,2.83615679699851e-06,2.2714316214862e-06,1.31570366988371,69.3,83.7,0.00260423437999772,3.21145850783877e-06,2.57329155916071e-06,1.62343748758876,58.1,72.3,0.328647520316521,0.0112530210092298,0.0529999782803079,1.42755389729385,74.1,80.5
"9","iptw","res_random_forest",1000,0.00324859883948821,4.79533313954642e-06,1.08231998295893e-06,3.12261359632763,28.3,71.5,0.00425821540815075,5.3700164021276e-06,1.35771334481998e-06,3.65446312268041,21,55.2,0.168212392246802,0.00953231214814551,0.00916435391841743,1.75714281408279,63.2,92.8
"10","iptw","res_random_forest_untruncated",999,0.00324935600267182,4.79971740379245e-06,1.26004713948285e-06,2.89470225408815,30.3303303303303,71.6716716716717,0.00425701623713182,5.37376854352305e-06,1.53513025865783e-06,3.43583809498121,22.7227227227227,55.3553553553553,0.168228534268908,0.00954012674766428,0.0105850960578458,1.63512989686299,64.1641641641642,92.7927927927928
"11","iptw","res_ridge",1000,0.00236020265282663,2.48623251209575e-06,3.37638323478555e-06,1.28446840653492,70.8,69.4,0.00234339225356237,2.81334248084355e-06,3.72922691036567e-06,1.21348827722544,74.8,74.8,0.35982471732732,0.0108824411742192,0.0946605130508818,1.16951707229049,87.1,77.5
"12","iptw","res_ridge_undersmooth",1000,0.00168695075542537,3.67865234950935e-06,4.95394963039898e-06,0.75792566209884,91.4,93.6,0.00808268971622065,4.29707033362924e-06,5.04828971715428e-06,3.59735892681343,9.3,2.6,0.522113884693494,0.00734592480565445,0.0906185690292871,1.73442946446811,65.4,52
"13","iptw","res_ridge_undersmooth_untruncated",999,0.00204522698532529,5.76853525776896e-06,1.05633928949298e-05,0.629274013770981,89.4894894894895,94.994994994995,0.00813754399400298,6.479597723457e-06,1.0657731403196e-05,2.49264805872297,26.8268268268268,10.5105105105105,0.551567677244573,0.0114971653445429,0.166044661705024,1.35358754337679,75.4754754754755,62.6626626626627
"14","iptw","res_ridge_untruncated",1000,0.00248067907011521,2.6593973531979e-06,4.04027684124356e-06,1.23414168177788,69.2,68.1,0.00246196507222654,3.00607393258984e-06,4.39315058303366e-06,1.17461040186834,73.8,73.1,0.382538057502046,0.0116658354257956,0.11327371973445,1.1366063213059,86.9,76.9
"15","tmle","res_EN",1000,0.00195084009170375,2.85141048590745e-06,2.23991331470279e-06,1.30348508609727,70.6,85.1,0.00259940305738552,3.21738987108234e-06,2.54367038771347e-06,1.62983338059638,59.3,73.2,0.324413869841724,0.0112285902650823,0.0520989315491678,1.42129754259529,74.3,80.2
"16","tmle","res_EN_undersmooth",1000,0.00201282087896158,5.73646272438804e-06,3.93239939163732e-06,1.01502401738337,89.7,94,0.00197598273404947,6.09312935137365e-06,4.02361145755439e-06,0.985088223838115,86.9,96.4,0.217534064804528,0.0218497452599186,0.0478658052935742,0.994293476716254,88.9,95.1
"17","tmle","res_glm",1000,0.0021701333643207,6.32619593617884e-06,4.11907702809526e-06,1.06926774731548,88,93.2,0.00206969580812687,6.72112335604675e-06,4.42880016584453e-06,0.983475346729595,89,95.8,0.226899037494077,0.0245774449672024,0.0488365451164759,1.02673930387068,87.5,95.5
"18","tmle","res_glm_untruncated",1000,0.00248980037478538,1.04464090167019e-05,1.00385159953989e-05,0.785832109460733,92.4,94.5,0.00249869580393973,1.09264323273247e-05,1.03483265261356e-05,0.776744748307174,88,95.6,0.268459090750404,0.0404863853278641,0.093064377656246,0.880007505461207,92.1,94.6
"19","tmle","res_glmnet",1000,0.00195162017983795,2.85842050907882e-06,2.16984014615966e-06,1.32489490501066,69,84.9,0.00262625116248264,3.22828911114281e-06,2.47051753565649e-06,1.67086856022352,57.3,71.5,0.325626825501931,0.0112156934905146,0.0504839396966598,1.44925082312391,73.1,79.7
"20","tmle","res_glmnet_undersmooth",1000,0.00201440165201407,5.74437566936783e-06,3.94113269759862e-06,1.01469504600337,89.7,94,0.00197694938046416,6.10080850337569e-06,4.03234483752345e-06,0.98450225884089,86.9,96.4,0.217644590426349,0.0218810959347081,0.0479642319025984,0.993777432382359,88.9,95.1
"21","tmle","res_glmnet_undersmooth_untruncated",999,0.00240468418693337,9.43890510946511e-06,8.35607107797407e-06,0.831872915843295,91.8918918918919,94.1941941941942,0.00241480410696045,9.89139736940857e-06,8.44719020205e-06,0.830856016802333,86.1861861861862,95.4954954954955,0.25932575444221,0.0359831396425061,0.0805756867738102,0.913573812596629,91.5915915915916,94.4944944944945
"22","tmle","res_glmnet_untruncated",1000,0.00194505133514446,2.98189117739384e-06,2.26496551892766e-06,1.2924098836029,69.8,86.2,0.00260838321387632,3.36167579826867e-06,2.56568095447869e-06,1.62843366279606,57.6,73.9,0.323389900151066,0.0117081589660722,0.0514610056227642,1.42556596417022,73.6,81.4
"23","tmle","res_random_forest",1000,0.00339472810013752,1.16180148617426e-05,1.22844738804093e-06,3.06285695721473,33.3,85.9,0.00295542832065661,1.19094154240823e-05,1.4933327137048e-06,2.41847800003958,47.2,91.9,0.299492908725088,0.0429142305612588,0.0108935975522394,2.86946465976418,38,93.2
"24","tmle","res_random_forest_untruncated",999,0.00346506549716693,1.32604723332307e-05,1.36434703113117e-06,2.96653190159197,35.035035035035,87.8878878878879,0.00304082612885591,1.35763048636303e-05,1.62896753181259e-06,2.38251352271972,47.1471471471471,92.3923923923924,0.304309000348055,0.0489538526012162,0.0114634569496434,2.84221544554142,39.3393393393393,93.1931931931932
"25","tmle","res_ridge",1000,0.0019829163695161,2.76135166083822e-06,3.36854836956389e-06,1.08039609073831,78,81.9,0.0026369695382817,3.11563409484866e-06,3.71976457655767e-06,1.36724828027092,69.6,71,0.331392822320749,0.0108504501289881,0.0796176397774508,1.17446058998497,85.7,79.3
"26","tmle","res_ridge_undersmooth",1000,0.00187229194813306,4.97662207460265e-06,4.87102634828724e-06,0.848327079229332,94.2,93.8,0.00186696976890615,5.3161747206954e-06,4.96227116656715e-06,0.838102312956903,90.9,95.4,0.204980972822469,0.0188070626792347,0.0605650652548051,0.832918398072317,94.6,95
"27","tmle","res_ridge_undersmooth_untruncated",999,0.00222272469739477,7.6195223985348e-06,1.03293435693101e-05,0.691590969234004,95.2952952952953,94.1941941941942,0.00223242077307061,8.05042484436606e-06,1.04204627267696e-05,0.69156427900528,90.4904904904905,95.3953953953954,0.241455896883454,0.0288543387866083,0.10691248405631,0.738454270132091,95.8958958958959,94.2942942942943
"28","tmle","res_ridge_untruncated",1000,0.00195751295977985,3.16106411243069e-06,4.02963056770681e-06,0.975151357892892,80,86.8,0.00255990680182304,3.53685040133786e-06,4.380876480608e-06,1.22304841773963,72.3,75.7,0.320598223071868,0.0124446646985522,0.0876829854880691,1.08268830756026,86.5,82.6
